启动成功启动成功2018/7/25 11:40:00执行JOB一次
2018/7/25 11:41:00执行JOB一次
2018/7/25 11:42:00执行JOB一次
2018/7/25 11:43:00执行JOB一次
2018/7/25 11:44:00执行JOB一次
2018/7/25 11:45:00执行JOB一次
2018/7/25 11:46:00执行JOB一次
2018/7/25 11:47:00执行JOB一次
2018/7/25 11:48:00执行JOB一次
2018/7/25 11:49:00执行JOB一次
2018/7/25 11:50:00执行JOB一次
2018/7/25 11:51:00执行JOB一次
2018/7/25 11:52:00执行JOB一次
2018/7/25 11:53:00执行JOB一次
2018/7/25 11:54:00执行JOB一次
2018/7/25 11:55:00执行JOB一次
2018/7/25 11:56:00执行JOB一次
2018/7/25 11:57:00执行JOB一次
2018/7/25 11:58:00执行JOB一次
2018/7/25 11:59:00执行JOB一次
2018/7/25 12:00:00执行JOB一次
2018/7/25 12:01:00执行JOB一次
2018/7/25 12:02:00执行JOB一次
2018/7/25 12:03:00执行JOB一次
2018/7/25 12:04:00执行JOB一次
启动成功2018/7/25 12:10:00执行JOB一次
2018/7/25 12:11:40执行JOB一次
2018/7/25 12:15:23执行JOB一次
2018/7/25 12:15:25执行JOB一次
2018/7/25 12:16:01执行JOB一次
2018/7/25 12:17:00执行JOB一次
启动成功2018/7/25 12:24:00执行JOB一次
启动成功2018/7/25 12:25:00执行JOB一次
2018/7/25 12:26:00执行JOB一次
2018/7/25 12:27:00执行JOB一次
2018/7/25 12:28:00执行JOB一次
2018/7/25 12:29:00执行JOB一次
2018/7/25 12:30:00执行JOB一次
2018/7/25 12:31:00执行JOB一次
2018/7/25 12:32:00执行JOB一次
2018/7/25 12:33:00执行JOB一次
2018/7/25 12:34:00执行JOB一次
2018/7/25 12:35:00执行JOB一次
2018/7/25 12:36:00执行JOB一次
2018/7/25 12:37:00执行JOB一次
2018/7/25 12:38:00执行JOB一次
2018/7/25 12:39:00执行JOB一次
2018/7/25 12:40:00执行JOB一次
2018/7/25 12:41:00执行JOB一次
2018/7/25 12:42:00执行JOB一次
2018/7/25 12:43:00执行JOB一次
2018/7/25 12:44:00执行JOB一次
2018/7/25 12:45:00执行JOB一次
2018/7/25 12:46:00执行JOB一次
2018/7/25 12:47:00执行JOB一次
2018/7/25 12:48:00执行JOB一次
2018/7/25 12:49:00执行JOB一次
2018/7/25 12:50:00执行JOB一次
2018/7/25 12:51:00执行JOB一次
2018/7/25 12:52:00执行JOB一次
2018/7/25 12:53:00执行JOB一次
2018/7/25 12:54:00执行JOB一次
2018/7/25 12:55:00执行JOB一次
2018/7/25 12:56:00执行JOB一次
2018/7/25 12:57:00执行JOB一次
2018/7/25 12:58:00执行JOB一次
2018/7/25 12:59:00执行JOB一次
2018/7/25 13:00:00执行JOB一次
2018/7/25 13:01:00执行JOB一次
2018/7/25 13:02:00执行JOB一次
2018/7/25 13:03:00执行JOB一次
2018/7/25 13:04:00执行JOB一次
2018/7/25 13:51:15执行JOB一次
2018/7/25 13:51:15执行JOB一次
2018/7/25 13:52:00执行JOB一次
2018/7/25 13:53:00执行JOB一次
2018/7/25 13:54:00执行JOB一次
2018/7/25 13:55:00执行JOB一次
2018/7/25 13:56:00执行JOB一次
2018/7/25 13:57:00执行JOB一次
2018/7/25 13:58:00执行JOB一次
2018/7/25 13:59:00执行JOB一次
2018/7/25 14:00:00执行JOB一次
2018/7/25 14:01:00执行JOB一次
2018/7/25 14:02:00执行JOB一次
2018/7/25 14:03:00执行JOB一次
2018/7/25 14:04:00执行JOB一次
2018/7/25 14:05:00执行JOB一次
2018/7/25 14:06:00执行JOB一次
2018/7/25 14:07:00执行JOB一次
2018/7/25 14:08:00执行JOB一次
启动成功2018/7/25 14:10:00执行JOB一次
启动成功2018/7/25 14:14:00执行JOB一次
启动成功2018/7/25 14:18:00执行JOB一次
2018/7/25 14:19:00执行JOB一次
发生异常页: http://localhost:12345/ReportForms/WFvAllCaiOrderList.aspx
异常信息: 只能在执行 Render() 的过程中调用 RegisterForEventValidation；2018/7/25 14:20:00执行JOB一次
启动成功2018/7/25 14:23:00执行JOB一次
发生异常页: http://localhost:12345/JXC/WFCai_OrderPrint.aspx
异常信息: 可为空的对象必须具有一个值。启动成功2018/7/25 14:25:01执行JOB一次
2018/7/25 14:26:00执行JOB一次
启动成功2018/7/25 14:28:00执行JOB一次
2018/7/25 14:29:00执行JOB一次
2018/7/25 14:30:00执行JOB一次
2018/7/25 14:31:00执行JOB一次
启动成功2018/7/25 14:46:00执行JOB一次
2018/7/25 14:47:00执行JOB一次
启动成功2018/7/25 17:06:00执行JOB一次
2018/7/25 17:07:00执行JOB一次
2018/7/25 17:08:00执行JOB一次
2018/7/25 17:09:00执行JOB一次
2018/7/25 17:10:00执行JOB一次
2018/7/25 17:11:28执行JOB一次
